username, created_at, lng, lat, text
copkiller1999, Tue Jan 26 06:08:14 +0000 2021, -84.433106, 33.767195, Ariel Pink kicked my dog 
WRhincy, Tue Jan 26 06:08:16 +0000 2021, -117.849687, 34.135520, @Dario_Ciriello @DarnayJesse No need! Just chains. We should plan a day trip to Wrightwood.  Just an hour drive, an… https://t.co/HaI3Dk5Hjt 
GabrielaDow, Tue Jan 26 06:08:15 +0000 2021, -117.104989, 32.810012, On east coast calls all morning followed by major deadlines then community group meeting/presentation + keeping up… https://t.co/1WUK3AZKpT 
RevChuckCurrie, Tue Jan 26 06:08:16 +0000 2021, -122.630908, 45.536402, Cold weather in Portland means difficult times for those experiencing homelessness. @211info has a list of donation… https://t.co/WYiTy5U04i 
Alkapone47, Tue Jan 26 06:08:16 +0000 2021, -122.044814, 37.592159, @litapi1 Jodie 🤣🤣🤣🤣🤣 
AtlasBear_Mirza, Tue Jan 26 06:08:16 +0000 2021, -117.104989, 32.810012, @oneheavytitty You mean to tell me a guy with half of a half sleeve and a “tattooed and employed” shit doesn’t know… https://t.co/la35RWHq6K 
caminorandy, Tue Jan 26 06:08:16 +0000 2021, -120.583402, 44.145437, @PaddyHu19157609 @IsaacDovere That is an outright lie 
MaNueLEmy, Tue Jan 26 06:08:16 +0000 2021, -74.000941, 40.236612, @ChrisLandauUSA Saludos desde Deal, NJ 
NoGloveD, Tue Jan 26 06:08:16 +0000 2021, -91.829228, 30.333447, ion even watch basketball but yall niggas be funny asl 😂😂 
dhmontgomery, Tue Jan 26 06:08:16 +0000 2021, -93.262046, 44.970610, @EvanSchultheis 1961 Antietam centenary? Wouldn’t that have been 1962? 
lancegregmason, Tue Jan 26 06:08:16 +0000 2021, -85.768241, 37.822244, @MedusaBaked Because  we're dumb. 
jordancaballero, Tue Jan 26 06:08:16 +0000 2021, -119.306608, 37.269176, @cherylecious 🙏🏼 
noofugazy, Tue Jan 26 06:08:17 +0000 2021, -75.117998, 40.004866, one punch man would really smoke all them humanoids from attack on titan 😭 #AttackOnTitan 
nolimitdajon202, Tue Jan 26 06:08:17 +0000 2021, -77.014398, 38.898603, Add me on Snapchat! Username: nolimitdajon301 https://t.co/TMBKg2UmcZ https://t.co/9GkdVHLQkI 
LifeNLasVegas, Tue Jan 26 06:08:17 +0000 2021, -117.022695, 38.502147, @VitalVegas @LasVegasLocally @jgumalo_62 https://t.co/NlZ03ybUYj 
vnd_r3s, Tue Jan 26 06:08:18 +0000 2021, -118.035289, 34.070871, Goodnight https://t.co/9YI80x2CaP 
livmoods, Tue Jan 26 06:08:18 +0000 2021, -104.976767, 39.534794, @BookitHQ don’t give MikeyOver the satisfaction Bookit. Jesus 
galiotacabron, Tue Jan 26 06:08:18 +0000 2021, -122.330602, 47.614817, @FerMG89405400 8 president Bukele. 
LovelyBlunts, Tue Jan 26 06:08:18 +0000 2021, -117.035027, 32.985291, I disagree with this. I don’t do shit 100% for male attention lmfao tf. 
SDCA010, Tue Jan 26 06:08:18 +0000 2021, -116.918445, 32.760825, @TimNoEgo So I guess he is a wanker. 
beerm3rmaid, Tue Jan 26 06:08:19 +0000 2021, -121.172848, 38.667887, apparently my hair has once again crossed that invisible threshold only strangers can see that makes them say “oh m… https://t.co/wPGK3MtHlR 
janetprz08, Tue Jan 26 06:08:19 +0000 2021, -119.306608, 37.269176, I love my 8th graders! The sass! The drama! The activism! ❤️❤️👏🏽👏🏽 
SuebobMua, Tue Jan 26 06:08:19 +0000 2021, -116.979453, 33.784916, This 
joeykennedy, Tue Jan 26 06:08:19 +0000 2021, -86.793917, 33.542237, @MedusaBaked I don’t question any of your choices. Indeed, I’m motivated by them. 🙏😷 
katsuaz, Tue Jan 26 06:08:19 +0000 2021, -97.135638, 32.701850, I miss you so much @juleslandryy 
maddymaelie, Tue Jan 26 06:08:19 +0000 2021, -97.285913, 32.779967, @mikedarmon My Thoughts Exactly 
G5Living, Tue Jan 26 06:08:19 +0000 2021, -79.272570, 43.629311, Lol had to work the wrist today 
LoudFlavor, Tue Jan 26 06:08:20 +0000 2021, -93.955918, 29.901544, i love this lmao https://t.co/5K4kmLYtBy 
AyeYoD1Flem, Tue Jan 26 06:08:20 +0000 2021, -81.469684, 28.586642, Let me go follow you what’s your IG 
schneider, Tue Jan 26 06:08:20 +0000 2021, -118.411907, 34.020789, @M_Sahli_Wells Can you get them to stop endorsing climate change deniers like @PaulKoretzCD5 ? 
09Mark1, Tue Jan 26 06:08:20 +0000 2021, -71.088712, 42.313670, @SPWTalessia Shines always fighting for trinkets instead of a plan https://t.co/Eqf73Spfy4 
luh_jaycarter, Tue Jan 26 06:08:20 +0000 2021, -85.812235, 33.678802, Leh me put my phone on the charger 
tricks_nonsense, Tue Jan 26 06:08:20 +0000 2021, -104.789327, 38.888519, @Brian_Spann OnlyAnimes 
jimmyjohnneck, Tue Jan 26 06:08:21 +0000 2021, -97.754724, 30.323346, The way I want one of these sooooo bad 
StuffyWings4, Tue Jan 26 06:08:21 +0000 2021, -96.932840, 33.170366, @FatalGlytch @OrganyzedG 😂🥰 
bamatop89, Tue Jan 26 06:08:21 +0000 2021, -84.433106, 33.767195, Jacking before work https://t.co/ofHIUi5199 
veykookie, Tue Jan 26 06:08:21 +0000 2021, -79.272570, 43.629311, adobong pusit/pork and TUYO 
DanielbeastFk, Tue Jan 26 06:08:21 +0000 2021, -106.417430, 31.793368, Not gonna lie i slept all day, skipped the gym, relaxed and had a couple of drinks and honestly it was much needed,… https://t.co/nu72Bo5eAn 
BonsaiAudio, Tue Jan 26 06:08:21 +0000 2021, -119.132102, 46.245556, Bonsais got to take a field trip today. #bonsai #train #bnsf #bonsaitree #art https://t.co/WPdOP7u4AD 
aholmaas, Tue Jan 26 06:08:21 +0000 2021, -93.262046, 44.970610, @JohnLampson Really appreciate the offer! Turns out none of my bands have anything on the books right now so I’m all right for now. 
barnErebel, Tue Jan 26 06:08:21 +0000 2021, -81.958201, 42.163991, @XboxCanada My 360 special edition works better than my 1. Origonal Controllers still still work fine w/360 special edition 
Bandz_Margera, Tue Jan 26 06:08:22 +0000 2021, -90.247824, 38.653771, @Keem_o_Dolla314 Lol First Pic Cruz, Second Pic Zero lol 
Virgini81820714, Tue Jan 26 06:08:22 +0000 2021, -117.851089, 33.842863, @latelateshow @halsey Yeah well still awake and the night sky is gorgeous. 
tashalynndunn, Tue Jan 26 06:08:22 +0000 2021, -85.380540, 39.932606, @LoyaltyComp @K9thegoat23 https://t.co/FQCLFmG39a 
alyssa_claire14, Tue Jan 26 06:08:22 +0000 2021, -92.633835, 32.536900, What other people think about you has nothing to do with you and everything to do with them. 
CioBeats, Tue Jan 26 06:08:22 +0000 2021, -122.272100, 37.802900, Some new west coast vibes for @bgperico •••#westcoast #sowayout #beatstars #newbeats2021 #instrumental… https://t.co/29Iz1oBADs 
GameTru, Tue Jan 26 06:08:22 +0000 2021, -75.115313, 39.893291, @pinky_schultz @SerotoninsGone @CompoundBoss I feel like you are really showing some aggression here, why? ... Who hurt you? 
DemonInMeCA, Tue Jan 26 06:08:22 +0000 2021, -121.873730, 37.331159, 🖤🖤 
SpeedyVeez, Tue Jan 26 06:08:22 +0000 2021, -119.306608, 37.269176, @Stckysheets @deemishell @CJReformPatriot Oh transferring..mingle time watch the numbers. I'd put the books in a ba… https://t.co/AE7zXbTyNc 
o_gkilla, Tue Jan 26 06:08:23 +0000 2021, -74.724323, 40.073041, Would a tiger eat a praying mantis? Ofc. Were they created by mantid aliens? Probabafuckinglee. 
Prodikal_son, Tue Jan 26 06:08:22 +0000 2021, -97.114771, 33.202495, Valentine’s Day is approaching 
AmigoIvy, Tue Jan 26 06:08:23 +0000 2021, -89.876449, 32.571032, @theyl0veAK_ Happy Birthday 🖤 
hjoymuenzler, Tue Jan 26 06:08:23 +0000 2021, -96.291649, 30.585471, someone needs to force feed me lmaooo i haven’t eaten a meal in 72 hours 
deniseNJrealtor, Tue Jan 26 06:08:23 +0000 2021, -74.485163, 40.785951, Someone does not know that she's a dog.#workinglate #shemissedme #Lucy #thebaby #lucyimhome #thisisnotnormal… https://t.co/qEGVNshqyL 
ceexcyn, Tue Jan 26 06:08:23 +0000 2021, -158.086384, 21.364071, @pitachulaa I feel like my jaw is broken and I keep getting punched in the face over and over and over again 😩 
ghhabib_fa, Tue Jan 26 06:08:24 +0000 2021, -79.913521, 43.260695, @bohlool_dana مهم‌ نیست. اینا کارشون همینه.  #برانداز_زیر_پتویی‌ 🤣 بزا اسم من و یادداشت کنه. :)) 
tiramisu27, Tue Jan 26 06:08:23 +0000 2021, -80.112903, 26.533486, @lilisofancy @LuxuryNaked https://t.co/0OFYv2Bg7T 
Midpacklikback, Tue Jan 26 06:08:24 +0000 2021, -122.228685, 37.791994, I need some more wine 
Missaelcortees, Tue Jan 26 06:08:24 +0000 2021, -79.272570, 43.629311, Esos que se burlan de los que graban los atardeceres de seguro no saben tomar buenas fotos y por eso el hate. 
Rasanbesa, Tue Jan 26 06:08:24 +0000 2021, -77.014398, 38.898603, @Comethazhine @GoatRant7 @AnotherNBAFan I have already said that I misspoke. How about you try clicking the replies… https://t.co/HizU87qqCr 
oscararmandojr, Tue Jan 26 06:08:24 +0000 2021, -118.027895, 33.936153, I love my life 
C_Christinecl, Tue Jan 26 06:08:24 +0000 2021, -90.178629, 30.001244, DUH 
ahuntsbe128, Tue Jan 26 06:08:24 +0000 2021, -78.398900, 40.507190, I feel like this is the epitome of a grandpa selfie for Levi. 😂😂#dogsofinstagram #lifeoflevi #selfiebygrandpa @ Al… https://t.co/8iqu3rFFPi 
Kiddie_A, Tue Jan 26 06:08:25 +0000 2021, -119.782465, 36.786042, 🤣🤣🤣🤣🤣 
roberts52063928, Tue Jan 26 06:08:25 +0000 2021, -95.913642, 36.109392, @Pixeldoggie2003 @McJuggerNuggets @Lyricoldrap @BridgetteWest @YegsTv I know right I think they both are out of control at this point 😂🤣 
illiniracers, Tue Jan 26 06:08:25 +0000 2021, -86.631040, 36.073653, https://t.co/QbpY3ZVIS4 
AntMillerJr, Tue Jan 26 06:08:25 +0000 2021, -75.770041, 42.746617, Chrome Hearts 🤞🏽🖤 
connnniiieeee, Tue Jan 26 06:08:26 +0000 2021, -71.421832, 41.817084, It’s been a year 💜#RILKOBE🕊 
Maryjose16, Tue Jan 26 06:08:26 +0000 2021, -96.478398, 42.501412, Achis, achis. Que están planeando? 
pikachuh0e, Tue Jan 26 06:08:26 +0000 2021, -79.272570, 43.629311, holy this is the second time i missed my exit smh 
MrsNac308, Tue Jan 26 06:08:26 +0000 2021, -118.411907, 34.020789, For #XAUUSD $1,735 my eyes there for a buy.. 
ChampagneBanksy, Tue Jan 26 06:08:26 +0000 2021, -82.672903, 27.795720, Entanglement hours 
Victorkenzz, Tue Jan 26 06:08:26 +0000 2021, -76.615181, 39.396352, maybe @awonderland can help me out lol girl you cool as hell!! maybe any miracles?? 
bruinrob11, Tue Jan 26 06:08:26 +0000 2021, -118.411907, 34.020789, @Chargers_Zone @Chargers yeah, me too. they standout. 
CoachSess_Chin, Tue Jan 26 06:08:26 +0000 2021, -111.947395, 40.656940, @GDWRKARTS Foe all y’all saying this iZz horrible iZz exactly why kids running around not respecting they parents l… https://t.co/n3czM5E1At 
test5geo1798, Tue Jan 26 06:08:27 +0000 2021, -122.416738, 37.776796, TEST_PLACE: 5e0fcf17-cbd6-44f1-bc0e-ec1bba81365a 
Pilola562, Tue Jan 26 06:08:27 +0000 2021, -119.306608, 37.269176, @TheNickyBands @albe23g Real shit, I’d get heated when people would try to put him over Kobe lmao 
DakotaLeeDilley, Tue Jan 26 06:08:27 +0000 2021, -82.094494, 39.761726, @BuzzPatterson Internment would be a better charge 
QualOverQuan, Tue Jan 26 06:08:27 +0000 2021, -118.411907, 34.020789, @daasTRILL When does this drop? 
Raulzaazueta, Tue Jan 26 06:08:27 +0000 2021, -107.762357, 24.734035, Que mamada que quiten el juego de tomateros vs Hermosillo ya para terminarse @skycontigo 
amritbsingh, Tue Jan 26 06:08:27 +0000 2021, -112.424976, 33.412872, #HistoricTractorMarch 
anaystarr, Tue Jan 26 06:08:28 +0000 2021, -86.409610, 35.847420, The invites to my graduation is looking real small like i can count on one hand small 
JamesHartagram, Tue Jan 26 06:08:28 +0000 2021, -117.595728, 33.629414, @AlexVaz714 Incredible. Great series. 
ZeusAndreux, Tue Jan 26 06:08:28 +0000 2021, -84.433106, 33.767195, @SameOlDarius No hateration up in this here dancery https://t.co/pUpyrKyn8T 
nanasalazar, Tue Jan 26 06:08:28 +0000 2021, -79.272570, 43.629311, @Nkusu618 @achristiandavid @MariaFdaCabal En serio?? De matoneo y tal??? Pues por estar trabajando TANTO, para tene… https://t.co/tsYvYd52RM 
QueenJAMES_2you, Tue Jan 26 06:08:28 +0000 2021, -84.385063, 39.242021, This wine doing me justice after studying 😌 
g0rmsy, Tue Jan 26 06:08:28 +0000 2021, -105.063942, 40.564190, on a scale of Dirty Sprite 1 to Dirty Sprite 2 where does Pluto rank in Future’s discography? 
_balushi99, Tue Jan 26 06:08:28 +0000 2021, -122.630908, 45.536402, @xlxk0 ثانكيو 🌚🙏🏻 
ohnoisitkasey, Tue Jan 26 06:08:28 +0000 2021, -118.411907, 34.020789, @LessikaJee @melanatedmomma I feel this 💯. I journal (lists mainly) just purge everything and let the universe know… https://t.co/Dsurp8NhA4 
WHOTFISC4, Tue Jan 26 06:08:29 +0000 2021, -95.446486, 29.838495, I be thinking people follow a nigga on accident 
meredithfl0yd, Tue Jan 26 06:08:29 +0000 2021, -74.184848, 40.734494, @banaryyy LMFAOOOOOOOOOOOOO WHAT 
JEllisP, Tue Jan 26 06:08:29 +0000 2021, -119.306608, 37.269176, @Acyn We will be able to forget about him and move on when this wanna be fascist dictator is adequately punished an… https://t.co/jk4itAZm5H 
GuapLikeMari, Tue Jan 26 06:08:29 +0000 2021, -84.433106, 33.767195, Gotta keep me a box that’s mandatory‼️ https://t.co/Y6nkNLHOTy 
_sw253_, Tue Jan 26 06:08:29 +0000 2021, -111.931711, 34.168253, Goddamn Scorpion aged wellForgot how good of a album this was lmao 
gopTODD, Tue Jan 26 06:08:29 +0000 2021, -111.915910, 40.874536, @DJJazzyJody @TribTomWharton Screw Dean. What has he ever done fir you? 
lylegeorge, Tue Jan 26 06:08:29 +0000 2021, -122.330602, 47.614817, @bryanbehar As a former pillow salesman, I resemble this remark. 
ladystephaniee_, Tue Jan 26 06:08:30 +0000 2021, -112.124676, 33.552863, Missing this look 🥲😍 https://t.co/8YXUsbC792 
YniguezJonathan, Tue Jan 26 06:08:30 +0000 2021, -89.069133, 30.426027, I don’t know what the fuck I’m doing anymore. 
aminaahmad, Tue Jan 26 06:08:30 +0000 2021, -118.411907, 34.020789, @West_Syed the quality stuff. none of this american brand chocolate. 
shleeco, Tue Jan 26 06:08:30 +0000 2021, -80.181835, 38.920142, feeling kind of off..🥀 
drdawnffl, Tue Jan 26 06:08:31 +0000 2021, -86.585100, 36.307425, @WhiteHouse #bebark 
OptimusxxxPrime, Tue Jan 26 06:08:31 +0000 2021, -73.948775, 40.655138, @MojoDisco https://t.co/9Qq4xCGVJs 
rachelloumiller, Tue Jan 26 06:08:31 +0000 2021, -119.782465, 36.786042, 🙏🏻 Thank you Apple Watch for the flashlight feature. My pinkie toe does not support my gallon a day water intake. But you make it easier. 
Chykalet, Tue Jan 26 06:08:31 +0000 2021, -97.569671, 30.443039, Strawberry Cheesecake Ice Cream... 
MrKaress, Tue Jan 26 06:08:31 +0000 2021, -79.857363, 36.090397, Facts 
YogaLoveOakland, Tue Jan 26 06:08:32 +0000 2021, -122.274410, 37.829154, Just posted a photo @ YogaLove, Oakland https://t.co/8KoyPdVOSW 
cookheather18, Tue Jan 26 06:08:33 +0000 2021, -77.450244, 38.770885, People will talk shit about you then smile in your face and text you the next day acting like nothing even happened. Makes me sick 
fagg951, Tue Jan 26 06:08:33 +0000 2021, -84.266174, 30.476216, @ricanrootz 👋 
a_mcfall11, Tue Jan 26 06:08:33 +0000 2021, -92.436774, 38.304558, @Joy_Villa They are grasping at straws because all their dirt is about to be published!! Eeekkk can’t wait!! 
KENJR__, Tue Jan 26 06:08:33 +0000 2021, -90.479380, 30.482053, @SYDNIH_ Aw.. AWW. Mhm .. ok 
haykaye03, Tue Jan 26 06:08:34 +0000 2021, -100.076888, 31.168893, my entire heart https://t.co/6yFTZvgOEa 
ritamary6, Tue Jan 26 06:08:34 +0000 2021, -117.253906, 33.045009, @1CPL_Landman @cmdsteeler @stuartpstevens @HawleyMO @ProjectLincoln No they are not two of the Senators who went to… https://t.co/Q3ChjiJzuM 
DjSyncity, Tue Jan 26 06:08:34 +0000 2021, -84.433106, 33.767195, https://t.co/QEDB72Apbj 
3Abiamalik, Tue Jan 26 06:08:34 +0000 2021, -73.831187, 40.670879, @OfficialIshrat The wonderful madam 
RaLo_GoD, Tue Jan 26 06:08:34 +0000 2021, -91.401008, 30.937336, @XboxRagnar @bethesda @XboxP3 Who tf is Buthesda????? 
gabesaenz7, Tue Jan 26 06:08:34 +0000 2021, -104.789327, 38.888519, Majority of doctors are advising against masks, vaccines and lockdowns. Many pediatricians have come forward saying… https://t.co/rwqRvigPWZ 
CashyyVeno, Tue Jan 26 06:08:35 +0000 2021, -87.732013, 41.833585, Jus came from bae’s house and I have one thing to say, I miss my girlfriend and I love her. That is all 
MenendezRand, Tue Jan 26 06:08:35 +0000 2021, -109.901602, 31.413574, @lalasoo So many tangents below the suface of the primary Covid-19 stories. 
dreamarlowe85, Tue Jan 26 06:08:35 +0000 2021, -88.324649, 36.612349, "Tiger" is four hours of raw, uncut footage of a rise, fall, and rise of golf's greatest. It's not pretty, but it's… https://t.co/sBCUGxjsfs 
NofinesseDre, Tue Jan 26 06:08:35 +0000 2021, -91.090800, 30.459100, Wait till y’all see Manbun Eren😭💀 
pinchinaranjera, Tue Jan 26 06:08:35 +0000 2021, -111.498181, 28.969863, Dos mas naranjitas!!!! 
RobertT36652227, Tue Jan 26 06:08:35 +0000 2021, -157.799589, 21.319944, @MizzzAlia We might get down to the high 60s tonight 
6la6diablita_6, Tue Jan 26 06:08:35 +0000 2021, -117.480990, 33.994912, @_valenzuela28 I'm so mad there's only one damn season 
FrontRowFlynn, Tue Jan 26 06:08:36 +0000 2021, -118.411907, 34.020789, @therealrogden https://t.co/sX6Lk82hg7 
thefirstbroseph, Tue Jan 26 06:08:36 +0000 2021, -89.266508, 39.739300, professional baseball player for the @Cardinals 💯 
StealthGrayExt, Tue Jan 26 06:08:36 +0000 2021, -97.285913, 32.779967, Damn. It’s really been a year already. 
IAmRobRyan, Tue Jan 26 06:08:36 +0000 2021, -118.411907, 34.020789, @PeterAbraham @erinstrout Consider it done ✅ https://t.co/yon1NqjSth 
bjorzh, Tue Jan 26 06:08:36 +0000 2021, -106.162898, 28.941866, Me pusieron un altar...🙈 https://t.co/JF9cl4C6yB 
dorantes996, Tue Jan 26 06:08:37 +0000 2021, -117.887439, 33.739992, Simple 
bluedreamsxo, Tue Jan 26 06:08:37 +0000 2021, -87.837198, 41.747512, Ion wanna do it 
FreeMakaila, Tue Jan 26 06:08:37 +0000 2021, -84.266174, 30.476216, @natieshh LMFAO I didn’t know no better back then 
UGottaLuvMont, Tue Jan 26 06:08:37 +0000 2021, -80.926628, 33.631140, @soygatita11 Awwww thanks bae 
augustomdz, Tue Jan 26 06:08:37 +0000 2021, -100.640491, 25.805723, @ML_Mexico Acabo de ser estafado mediante @MercadoPagoMex y ellos la solución que te dicen es que hables con el ven… https://t.co/iLKIqiXuU5 
_searedsalmon, Tue Jan 26 06:08:37 +0000 2021, -122.330602, 47.614817, I need to be sippin on coconut water in Vietnam rn tf 
Dortch_Boy76, Tue Jan 26 06:08:37 +0000 2021, -95.968273, 41.292944, So i told her bout the fire &amp; the snow &amp; We Laughed &amp; Chopped📱 it up bout How we cud Make This ideal Happen!! &amp; We… https://t.co/becBcc4Q7r 
Paoocasti, Tue Jan 26 06:08:38 +0000 2021, -100.293591, 25.641718, @DanielaMt98 No manches amiga :( 
Neg_Lagonav, Tue Jan 26 06:08:38 +0000 2021, -76.255686, 36.895082, @Its_Feddy Hahaha men mwen wi Cherie 
highflight53, Tue Jan 26 06:08:38 +0000 2021, -118.918886, 34.188478, @kirstiealley I D Should be MandatoryBut it won't be now 
Shawdaaaa, Tue Jan 26 06:08:38 +0000 2021, -95.446486, 29.838495, I hate y’all ignorant ass people especially with big followings. 🙄 
test5geo1798, Tue Jan 26 06:08:38 +0000 2021, -122.416738, 37.776796, TEST_PLACE: e0d6aa6e-c214-4b22-b1ab-6b5c2a14dbd3 
LordBlastington, Tue Jan 26 06:08:38 +0000 2021, -123.130836, 49.174242, @Viktor4Liberty Believe it's for the purpose of barring him for running for office again 
mikewoods104, Tue Jan 26 06:08:39 +0000 2021, -117.072318, 33.120359, @Hinesite @FanDuel A low level earth orbit 
CaptainPuckPain, Tue Jan 26 06:08:39 +0000 2021, -75.800141, 45.248791, @rymkrs Why are you sooooo negative. Can’t you just focus on the good things the team accomplished tonight 
